node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown	embed_1	embed_2
H19.33.004__1417642343__10_8	H19.33.004__1417642343__10_8	H19.33.004	CN	1417642343	1579.0675109863282	1316.1804138183593	20	477.3		unknown	1.0	1.0	-2.4162024594688836	-1.4794289528371236
H19.33.004__1417642343__11_8	H19.33.004__1417642343__11_8	H19.33.004	CN	1417642343	1730.106698843149	1309.5794959435095	39	444.28205128205127		unknown	1.0	1.0	-1.745400315585975	-0.13487967334893294
H19.33.004__1417642343__29_6	H19.33.004__1417642343__29_6	H19.33.004	CN	1417642343	4421.101143973215	991.6674891880581	14	288.57142857142856		unknown	1.0	1.0	-0.1754514294849068	-1.1525533781306923
H19.33.004__1417642343__32_10	H19.33.004__1417642343__32_10	H19.33.004	CN	1417642343	4888.159398572198	1578.1973119275324	29	303.8965517241379		unknown	1.0	1.0	0.30337448582443094	-0.3343791390776768
H19.33.004__1417642343__26_8	H19.33.004__1417642343__26_8	H19.33.004	CN	1417642343	3989.083026592548	1252.7603947566106	13	366.53846153846155		unknown	1.0	1.0	-0.41670526809136427	-0.9391694566575843
H19.33.004__1417642343__33_25	H19.33.004__1417642343__33_25	H19.33.004	CN	1417642343	5018.358561197917	3829.966944839015	33	258.06060606060606		unknown	1.0	1.0	0.09508089972510275	0.18099910948528003
H19.33.004__1417642343__31_32	H19.33.004__1417642343__31_32	H19.33.004	CN	1417642343	4736.378203125	4883.12107421875	25	181.56		unknown	1.0	1.0	-0.6975402598364109	-0.05589578470824586
H19.33.004__1417642343__39_26	H19.33.004__1417642343__39_26	H19.33.004	CN	1417642343	5927.518145893895	3982.480582303779	43	261.0		unknown	1.0	1.0	0.6444665769996926	1.0250094010079667
H19.33.004__1417642343__31_26	H19.33.004__1417642343__31_26	H19.33.004	CN	1417642343	4735.185265743371	3971.370368726326	33	260.1818181818182		unknown	1.0	1.0	0.018242895435469083	0.5237666695158608
H19.33.004__1417642343__32_20	H19.33.004__1417642343__32_20	H19.33.004	CN	1417642343	4869.228722205529	3066.3768592247598	26	163.3846153846154		unknown	1.0	1.0	-1.6593287039307187	1.1392305293661538
H19.33.004__1417642343__36_21	H19.33.004__1417642343__36_21	H19.33.004	CN	1417642343	5478.621763392857	3208.911781529018	35	368.65714285714284		unknown	1.0	1.0	0.5400488074515407	-0.43064567631651607
H19.33.004__1417642343__35_22	H19.33.004__1417642343__35_22	H19.33.004	CN	1417642343	5328.347278941761	3366.933582652699	44	307.84090909090907		unknown	1.0	1.0	0.8730309902569601	2.2093560951863793
H19.33.004__1417642343__33_21	H19.33.004__1417642343__33_21	H19.33.004	CN	1417642343	5029.8615080180925	3249.6570081208883	19	264.7894736842105		unknown	1.0	1.0	-1.0692830138338425	-0.30211219416352275
H19.33.004__1417642343__30_34	H19.33.004__1417642343__30_34	H19.33.004	CN	1417642343	4572.102827023237	5161.216158353365	39	213.3846153846154		unknown	1.0	1.0	0.2899439754752079	1.317141796966521
H19.33.004__1417642343__31_19	H19.33.004__1417642343__31_19	H19.33.004	CN	1417642343	4745.782798549107	2906.9979840959822	35	208.31428571428572		unknown	1.0	1.0	-0.7507979898251429	1.1962717697113583
H19.33.004__1417642343__31_16	H19.33.004__1417642343__31_16	H19.33.004	CN	1417642343	4732.7330322265625	2490.4554443359375	24	489.875		unknown	1.0	1.0	0.9039439292366349	-0.41954456988136635
H19.33.004__1417642343__29_22	H19.33.004__1417642343__29_22	H19.33.004	CN	1417642343	4418.537265625	3370.977314453125	25	454.0		unknown	1.0	1.0	1.0518857982701837	-0.04358086418353989
H19.33.004__1417642343__30_19	H19.33.004__1417642343__30_19	H19.33.004	CN	1417642343	4588.321657576651	2937.4756320017686	53	263.2830188679245		unknown	1.0	1.0	0.10229273595335231	2.0198477494541027
H19.33.004__1417642343__44_14	H19.33.004__1417642343__44_14	H19.33.004	CN	1417642343	6679.257954259073	2173.365769909274	31	294.35483870967744		unknown	1.0	1.0	0.4868383136612448	1.0838216527519242
H19.33.004__1417642343__46_18	H19.33.004__1417642343__46_18	H19.33.004	CN	1417642343	6964.135474420363	2782.5059775075606	31	437.51612903225805		unknown	1.0	1.0	0.9221120502313536	-1.089084994429255
H19.33.004__1417642343__44_13	H19.33.004__1417642343__44_13	H19.33.004	CN	1417642343	6678.737038352273	2024.2947480172822	33	283.3030303030303		unknown	1.0	1.0	0.04700931384419728	0.22187227142691396
H19.33.004__1417642343__46_14	H19.33.004__1417642343__46_14	H19.33.004	CN	1417642343	6991.211344401042	2183.8334350585938	12	714.5		unknown	1.0	1.0	1.0409978240297053	-0.9455992065079585
H19.33.004__1417642343__49_17	H19.33.004__1417642343__49_17	H19.33.004	CN	1417642343	7433.721206202652	2629.010993726326	33	433.24242424242425		unknown	1.0	1.0	0.8262349779980912	-0.09200248401746476
H19.33.004__1417642343__47_17	H19.33.004__1417642343__47_17	H19.33.004	CN	1417642343	7115.05974469866	2637.1649169921875	14	709.8571428571429		unknown	1.0	1.0	0.7883689787840402	-1.9121920075266905
H19.33.004__1417642343__47_18	H19.33.004__1417642343__47_18	H19.33.004	CN	1417642343	7127.995134024784	2790.7117625269398	29	290.2758620689655		unknown	1.0	1.0	-0.16814143962944592	-0.12813889228540465
H19.33.004__1417642343__48_17	H19.33.004__1417642343__48_17	H19.33.004	CN	1417642343	7260.7753342848555	2623.243464543269	26	448.11538461538464		unknown	1.0	1.0	0.9744136367500728	0.8495718246218581
H19.33.004__1417642343__48_16	H19.33.004__1417642343__48_16	H19.33.004	CN	1417642343	7279.71037109375	2479.885556640625	25	324.56		unknown	1.0	1.0	0.10132404012994371	0.18430230380184484
H19.33.004__1417642343__47_15	H19.33.004__1417642343__47_15	H19.33.004	CN	1417642343	7139.322199041193	2331.253972833807	22	464.40909090909093		unknown	1.0	1.0	0.4704101743460855	-0.25740287922864186
H19.33.004__1417642343__36_22	H19.33.004__1417642343__36_22	H19.33.004	CN	1417642343	5486.282331194197	3370.12930733817	28	233.89285714285714		unknown	1.0	1.0	0.23448845380231612	-0.10139062319413386
H19.33.004__1417642343__42_23	H19.33.004__1417642343__42_23	H19.33.004	CN	1417642343	6373.688992745536	3530.060616629464	35	245.71428571428572		unknown	1.0	1.0	0.16213882778842179	0.010981733639486867
H19.33.004__1417642343__43_20	H19.33.004__1417642343__43_20	H19.33.004	CN	1417642343	6516.173661081414	3068.769627621299	38	285.0263157894737		unknown	1.0	1.0	0.3090052843915745	0.7388271952699885
H19.33.004__1417642343__40_19	H19.33.004__1417642343__40_19	H19.33.004	CN	1417642343	6071.790069580078	2927.5916595458984	32	264.8125		unknown	1.0	1.0	0.3562945244145408	0.7278391944644216
H19.33.004__1417642343__47_21	H19.33.004__1417642343__47_21	H19.33.004	CN	1417642343	7113.099186197916	3240.9520263671875	30	436.9		unknown	1.0	1.0	1.0112870598002686	-0.329966683999366
H19.33.004__1417642343__46_24	H19.33.004__1417642343__46_24	H19.33.004	CN	1417642343	6920.547814002404	3680.310114933894	13	486.3076923076923		unknown	1.0	1.0	0.2924690724206937	-1.1044500746624824
H19.33.004__1417642343__47_20	H19.33.004__1417642343__47_20	H19.33.004	CN	1417642343	7135.259521484375	3075.3327433268228	24	369.5		unknown	1.0	1.0	0.8343196538333058	0.21361517914899428
H19.33.004__1417642343__38_14	H19.33.004__1417642343__38_14	H19.33.004	CN	1417642343	5797.210390625	2191.362138671875	25	213.52		unknown	1.0	1.0	-0.36986529741984103	-0.5084421566032115
H19.33.004__1417642343__38_19	H19.33.004__1417642343__38_19	H19.33.004	CN	1417642343	5784.94427333734	2917.8157552083335	39	223.05128205128204		unknown	1.0	1.0	0.08546332465414426	0.42870283180945423
H19.33.004__1417642343__44_16	H19.33.004__1417642343__44_16	H19.33.004	CN	1417642343	6667.253403607537	2489.4952751608457	34	396.7352941176471		unknown	1.0	1.0	0.915985082646161	0.39716369500471876
H19.33.004__1417642343__43_28	H19.33.004__1417642343__43_28	H19.33.004	CN	1417642343	6466.72607421875	4224.721261160715	7	169.85714285714286		unknown	1.0	1.0	-3.7073543624859315	-1.0693728153408226
H19.33.004__1417642343__44_24	H19.33.004__1417642343__44_24	H19.33.004	CN	1417642343	6684.479064941406	3660.843017578125	32	226.84375		unknown	1.0	1.0	-0.5512934478739827	0.6873305294804274
H19.33.004__1417642343__39_10	H19.33.004__1417642343__39_10	H19.33.004	CN	1417642343	5903.963534268466	1558.4140791459517	22	333.45454545454544		unknown	1.0	1.0	-0.195976440188464	-0.3238139901763897
H19.33.004__1417642343__43_12	H19.33.004__1417642343__43_12	H19.33.004	CN	1417642343	6517.156569260817	1868.976590670072	26	359.1923076923077		unknown	1.0	1.0	0.2596435484458422	-0.3007908564409249
H19.33.004__1417642343__38_11	H19.33.004__1417642343__38_11	H19.33.004	CN	1417642343	5758.731817948191	1725.2699681332238	38	337.6578947368421		unknown	1.0	1.0	1.103603918750774	1.6664017086749379
H19.33.004__1417642343__38_6	H19.33.004__1417642343__38_6	H19.33.004	CN	1417642343	5786.5131603422615	967.0656447637649	21	215.38095238095238		unknown	1.0	1.0	-0.5328491837635462	0.04639323240247313
H19.33.004__1417642343__41_8	H19.33.004__1417642343__41_8	H19.33.004	CN	1417642343	6223.418243408203	1276.7854537963867	16	298.0		unknown	1.0	1.0	-0.2552456373988459	-0.03311441213341929
H19.33.004__1417642343__38_7	H19.33.004__1417642343__38_7	H19.33.004	CN	1417642343	5776.683056640625	1110.7302856445312	20	244.55		unknown	1.0	1.0	-0.9755125724808972	-0.37184567157643855
H19.33.004__1417642343__36_6	H19.33.004__1417642343__36_6	H19.33.004	CN	1417642343	5499.103352864583	973.1242472330729	27	276.48148148148147		unknown	1.0	1.0	-0.7605353322219358	0.010682468405343523
H19.33.004__1417642343__19_6	H19.33.004__1417642343__19_6	H19.33.004	CN	1417642343	2934.991795590049	1024.2579988178454	38	528.3947368421053		unknown	1.0	1.0	-1.443564474922758	-0.6008918983344231
H19.33.004__1417642343__18_7	H19.33.004__1417642343__18_7	H19.33.004	CN	1417642343	2769.1061678799715	1089.0695356889205	66	448.27272727272725		unknown	1.0	1.0	-0.5153546751578514	1.1203357433238832
H19.33.004__1417642343__22_23	H19.33.004__1417642343__22_23	H19.33.004	CN	1417642343	3370.9461216517857	3517.8091866629466	35	328.9714285714286		unknown	1.0	1.0	0.5940996670662402	0.9934707634995728
H19.33.004__1417642343__23_26	H19.33.004__1417642343__23_26	H19.33.004	CN	1417642343	3512.4548110961914	3989.193572998047	32	243.84375		unknown	1.0	1.0	0.35297598643488315	-0.01257459277404979
H19.33.004__1417642343__22_35	H19.33.004__1417642343__22_35	H19.33.004	CN	1417642343	3417.9644639756943	5345.098524305556	9	94.55555555555556		unknown	1.0	1.0	-1.7644011529390184	-1.6502031409975793
H19.33.004__1417642343__22_39	H19.33.004__1417642343__22_39	H19.33.004	CN	1417642343	3381.220810398911	5894.371004971591	66	145.86363636363637		unknown	1.0	1.0	-0.19804179590165388	2.28348757790085
H19.33.004__1417642343__18_15	H19.33.004__1417642343__18_15	H19.33.004	CN	1417642343	2761.8092215401784	2330.8855096726193	21	500.23809523809524		unknown	1.0	1.0	0.25045475911703907	-0.4302680260676367
H19.33.004__1417642343__19_36	H19.33.004__1417642343__19_36	H19.33.004	CN	1417642343	2934.4206071820176	5479.124965734649	57	316.5964912280702		unknown	1.0	1.0	0.8228501376975362	1.9524301756633662
H19.33.004__1417642343__19_18	H19.33.004__1417642343__19_18	H19.33.004	CN	1417642343	2930.87568478468	2769.90009884718	41	374.3658536585366		unknown	1.0	1.0	0.4907722317194773	0.47403287420079937
H19.33.004__1417642343__21_13	H19.33.004__1417642343__21_13	H19.33.004	CN	1417642343	3206.6383428158965	2034.852884043818	23	471.39130434782606		unknown	1.0	1.0	0.26609346396784544	-0.5322537900156136
H19.33.004__1417642343__20_30	H19.33.004__1417642343__20_30	H19.33.004	CN	1417642343	3068.2775300678454	4568.9600637335525	38	295.07894736842104		unknown	1.0	1.0	0.5521052242597941	0.304793389255577
H19.33.004__1417642343__20_16	H19.33.004__1417642343__20_16	H19.33.004	CN	1417642343	3083.078740234375	2468.685537109375	25	421.76		unknown	1.0	1.0	0.7407664588917077	-0.8307254177424983
H19.33.004__1417642343__26_11	H19.33.004__1417642343__26_11	H19.33.004	CN	1417642343	4009.1884969075522	1720.452392578125	24	282.375		unknown	1.0	1.0	-1.763106300149903	-0.4360686436716451
H19.33.004__1417642343__24_15	H19.33.004__1417642343__24_15	H19.33.004	CN	1417642343	3682.6868990384614	2337.462702824519	26	494.4230769230769		unknown	1.0	1.0	1.3584517171198116	-0.04133628597886236
H19.33.004__1417642343__24_13	H19.33.004__1417642343__24_13	H19.33.004	CN	1417642343	3648.7633347284227	2031.4995059058779	21	393.3809523809524		unknown	1.0	1.0	0.5785751186933917	-0.7081461893840435
H19.33.004__1417642343__23_27	H19.33.004__1417642343__23_27	H19.33.004	CN	1417642343	3534.4331868489585	4144.764133029514	18	400.44444444444446		unknown	1.0	1.0	0.2792611189728243	-0.0767770881394088
H19.33.004__1417642343__26_26	H19.33.004__1417642343__26_26	H19.33.004	CN	1417642343	3979.33046653054	3977.571211381392	22	264.8636363636364		unknown	1.0	1.0	-0.35673615157821476	-0.27192995481379095
H19.33.004__1417642343__25_20	H19.33.004__1417642343__25_20	H19.33.004	CN	1417642343	3832.415986032197	3059.029814749053	33	354.2121212121212		unknown	1.0	1.0	0.7189801819509638	-0.12153924913417025
H19.33.004__1417642343__28_22	H19.33.004__1417642343__28_22	H19.33.004	CN	1417642343	4248.74775834517	3377.558937766335	22	412.72727272727275		unknown	1.0	1.0	0.3053589220394319	-0.8792316486070096
H19.33.004__1417642343__27_22	H19.33.004__1417642343__27_22	H19.33.004	CN	1417642343	4122.260422926683	3361.452843299279	26	264.0		unknown	1.0	1.0	-0.4847508110794925	-0.1428278665965752
H19.33.004__1417642343__26_21	H19.33.004__1417642343__26_21	H19.33.004	CN	1417642343	3958.3016826923076	3232.0337853064902	26	304.34615384615387		unknown	1.0	1.0	0.5249188779173037	0.5839422784773668
H19.33.004__1417642343__24_6	H19.33.004__1417642343__24_6	H19.33.004	CN	1417642343	3664.8215535481772	931.6431172688802	12	180.58333333333334		unknown	1.0	1.0	-2.7746265743436584	0.26648611336812283
H19.33.004__1417642343__23_5	H19.33.004__1417642343__23_5	H19.33.004	CN	1417642343	3544.0937622070314	823.7261901855469	40	403.825		unknown	1.0	1.0	-0.8328289551211803	0.3945629414170405
H19.33.004__1417642343__23_6	H19.33.004__1417642343__23_6	H19.33.004	CN	1417642343	3508.8362611282705	960.7053918173146	43	266.5348837209302		unknown	1.0	1.0	-1.2404092810279836	0.2870323554471828
H19.33.004__1417642343__25_5	H19.33.004__1417642343__25_5	H19.33.004	CN	1417642343	3807.6223288143383	839.2160357306985	34	219.2941176470588		unknown	1.0	1.0	-2.3089730768843526	0.6008185955339045
H19.33.004__1417642343__24_5	H19.33.004__1417642343__24_5	H19.33.004	CN	1417642343	3678.8162109375	823.7466262817383	40	312.35		unknown	1.0	1.0	-1.028588881365733	1.2339280644970674
H19.33.004__1417642343__24_8	H19.33.004__1417642343__24_8	H19.33.004	CN	1417642343	3649.3509419759116	1285.9351959228516	24	229.58333333333334		unknown	1.0	1.0	-0.32726539524540793	-0.6605555005885232
H19.33.004__1417642343__21_5	H19.33.004__1417642343__21_5	H19.33.004	CN	1417642343	3252.4605887276784	883.9198804582868	28	432.7857142857143		unknown	1.0	1.0	-2.3768794349128406	-0.6426220117232223
H19.33.004__1417642343__21_6	H19.33.004__1417642343__21_6	H19.33.004	CN	1417642343	3209.6670143821025	945.330078125	55	390.8363636363636		unknown	1.0	1.0	-0.6494273107217557	1.0418422705584949
H19.33.004__1417642343__22_6	H19.33.004__1417642343__22_6	H19.33.004	CN	1417642343	3398.4045526413693	1007.1192583356585	42	252.73809523809524		unknown	1.0	1.0	-0.9496548710250291	1.2229084671147845
H19.33.004__1417642343__22_15	H19.33.004__1417642343__22_15	H19.33.004	CN	1417642343	3389.33980066636	2321.9376005284926	34	338.38235294117646		unknown	1.0	1.0	0.9702555073435292	-0.16938983793827436
H19.33.004__1417642343__21_7	H19.33.004__1417642343__21_7	H19.33.004	CN	1417642343	3219.3714488636365	1086.3460582386363	11	300.1818181818182		unknown	1.0	1.0	-0.5464075418622474	-0.5217980248314179
H19.33.004__1417642343__22_5	H19.33.004__1417642343__22_5	H19.33.004	CN	1417642343	3377.8507236578525	874.8238055889423	39	543.9487179487179		unknown	1.0	1.0	-1.583737775104073	-0.5180199330248194
H19.33.004__1417642343__36_3	H19.33.004__1417642343__36_3	H19.33.004	CN	1417642343	5479.097328186035	521.8714299201965	64	173.6875		unknown	1.0	1.0	-0.8416246786235452	1.8003120210546995
H19.33.004__1417642343__37_3	H19.33.004__1417642343__37_3	H19.33.004	CN	1417642343	5636.096747295673	520.0795738807092	65	203.83076923076922		unknown	1.0	1.0	-1.8734864278811327	2.120157810216985
H19.33.004__1417642343__38_2	H19.33.004__1417642343__38_2	H19.33.004	CN	1417642343	5838.409765625	394.15875244140625	5	269.0		unknown	1.0	1.0	-3.367032634182185	-0.44739695235701876
H19.33.004__1417642343__37_2	H19.33.004__1417642343__37_2	H19.33.004	CN	1417642343	5577.4627685546875	438.10428619384766	12	141.58333333333334		unknown	1.0	1.0	-2.925828277895618	-0.7454729324134286
H19.33.004__1417642343__36_2	H19.33.004__1417642343__36_2	H19.33.004	CN	1417642343	5475.760416666667	408.42250569661456	12	190.5		unknown	1.0	1.0	-2.5513030879424035	-0.15221231563715418
H19.33.004__1417642343__38_3	H19.33.004__1417642343__38_3	H19.33.004	CN	1417642343	5738.64990234375	545.5200070467862	22	101.5909090909091		unknown	1.0	1.0	-3.1598331946883804	1.0449802277584945
H19.33.004__1417642343__39_4	H19.33.004__1417642343__39_4	H19.33.004	CN	1417642343	5891.24029296875	674.807939453125	25	245.44		unknown	1.0	1.0	-2.431524357424142	0.36757632739162127
H19.33.004__1417642343__38_4	H19.33.004__1417642343__38_4	H19.33.004	CN	1417642343	5784.090366908482	670.7048568725586	56	190.26785714285714		unknown	1.0	1.0	-1.6910971550580656	1.6633214797807432
H19.33.004__1417642343__36_4	H19.33.004__1417642343__36_4	H19.33.004	CN	1417642343	5482.04857494213	641.1497960973669	27	180.8148148148148		unknown	1.0	1.0	-1.2033160647024155	1.0223804671977745
H19.33.004__1417642343__37_5	H19.33.004__1417642343__37_5	H19.33.004	CN	1417642343	5627.512765066965	822.6456080845425	14	183.0		unknown	1.0	1.0	-1.3376742430280328	-0.4753483910519071
H19.33.004__1417642343__37_4	H19.33.004__1417642343__37_4	H19.33.004	CN	1417642343	5634.976574125744	678.4474705287388	42	158.07142857142858		unknown	1.0	1.0	-2.178089840468758	1.6911641592836169
H19.33.004__1417642343__36_5	H19.33.004__1417642343__36_5	H19.33.004	CN	1417642343	5469.24201311384	821.6844177246094	14	218.07142857142858		unknown	1.0	1.0	-0.6424202713377494	-0.3695229027971015
H19.33.004__1417642343__33_4	H19.33.004__1417642343__33_4	H19.33.004	CN	1417642343	5031.889834449405	650.759998139881	21	231.38095238095238		unknown	1.0	1.0	0.006770694421615781	-0.21623763776011007
H19.33.004__1417642343__33_5	H19.33.004__1417642343__33_5	H19.33.004	CN	1417642343	5027.558081054687	833.6981140136719	20	184.85		unknown	1.0	1.0	-0.18098976946421613	-0.0005947007438343226
H19.33.004__1417642343__32_5	H19.33.004__1417642343__32_5	H19.33.004	CN	1417642343	4867.981423117898	805.4537187056108	22	175.3181818181818		unknown	1.0	1.0	-0.6713645993799706	0.24205365589397557
H19.33.004__1417642343__33_7	H19.33.004__1417642343__33_7	H19.33.004	CN	1417642343	5021.397847493489	1109.4877675374348	24	302.8333333333333		unknown	1.0	1.0	0.3849176659616623	-0.5274180875460179
H19.33.004__1417642343__33_8	H19.33.004__1417642343__33_8	H19.33.004	CN	1417642343	5019.554280598958	1284.8597683376736	18	469.22222222222223		unknown	1.0	1.0	0.7658634294592063	-1.7096854479176076
H19.33.004__1417642343__32_7	H19.33.004__1417642343__32_7	H19.33.004	CN	1417642343	4870.643218994141	1133.683837890625	16	305.625		unknown	1.0	1.0	-0.5409992069829044	-0.9204953276525574
H19.33.004__1417642343__32_8	H19.33.004__1417642343__32_8	H19.33.004	CN	1417642343	4884.808628627232	1279.539097377232	14	388.7857142857143		unknown	1.0	1.0	0.1742101885792654	-0.7935947030055885
H19.33.004__1417642343__33_6	H19.33.004__1417642343__33_6	H19.33.004	CN	1417642343	5022.5877685546875	978.0294921875	20	321.45		unknown	1.0	1.0	0.3760697518248556	-0.2343911951358585
H19.33.004__1417642343__32_6	H19.33.004__1417642343__32_6	H19.33.004	CN	1417642343	4875.841452205882	966.1161032284008	17	315.52941176470586		unknown	1.0	1.0	-0.009050110589295396	-0.8016263946359188
H19.33.004__1417642343__35_4	H19.33.004__1417642343__35_4	H19.33.004	CN	1417642343	5304.841764322917	661.3489379882812	15	194.86666666666667		unknown	1.0	1.0	-0.8121224861782853	-0.45204339672313576
H19.33.004__1417642343__35_2	H19.33.004__1417642343__35_2	H19.33.004	CN	1417642343	5380.540283203125	408.34128189086914	8	160.25		unknown	1.0	1.0	-2.4770650999270627	-0.5765116998880334
