obs_name	mapped_cell_type	mapped_confidence	mapping_status	mapping_note	donor_id	region	section_id	mapping_path	file_name
								data\processed\spatial_mapping\seaad_spatial_CN_1417643951_mapped_v1.tsv	seaad_spatial_CN_1417643951_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417643954_mapped_v1.tsv	seaad_spatial_CN_1417643954_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417644664_mapped_v1.tsv	seaad_spatial_CN_1417644664_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417644667_mapped_v1.tsv	seaad_spatial_CN_1417644667_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417644670_mapped_v1.tsv	seaad_spatial_CN_1417644670_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417644673_mapped_v1.tsv	seaad_spatial_CN_1417644673_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417648780_mapped_v1.tsv	seaad_spatial_CN_1417648780_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417648783_mapped_v1.tsv	seaad_spatial_CN_1417648783_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417648792_mapped_v1.tsv	seaad_spatial_CN_1417648792_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417648795_mapped_v1.tsv	seaad_spatial_CN_1417648795_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649139_mapped_v1.tsv	seaad_spatial_CN_1417649139_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649142_mapped_v1.tsv	seaad_spatial_CN_1417649142_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649441_mapped_v1.tsv	seaad_spatial_CN_1417649441_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649444_mapped_v1.tsv	seaad_spatial_CN_1417649444_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649447_mapped_v1.tsv	seaad_spatial_CN_1417649447_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649450_mapped_v1.tsv	seaad_spatial_CN_1417649450_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649873_mapped_v1.tsv	seaad_spatial_CN_1417649873_mapped_v1.tsv
								data\processed\spatial_mapping\seaad_spatial_CN_1417649876_mapped_v1.tsv	seaad_spatial_CN_1417649876_mapped_v1.tsv
