donor_id	feature	value
H21.33.045	pca_hvg_10__A9	-1.2220264977713668e-07
H21.33.046	pca_hvg_10__A9	0.0
H20.33.008	pca_hvg_10__MTG	-4.2461061866561067e-07
H20.33.026	pca_hvg_10__MTG	2.436700015095994e-07
H20.33.028	pca_hvg_10__MTG	-8.065954943958786e-07
H20.33.033	pca_hvg_10__MTG	5.320181912793487e-07
H20.33.035	pca_hvg_10__MTG	-3.728083441956187e-08
H20.33.036	pca_hvg_10__MTG	-2.4779458840384905e-07
H20.33.037	pca_hvg_10__MTG	3.24776550542083e-07
H20.33.038	pca_hvg_10__MTG	2.6544711317910696e-07
H20.33.045	pca_hvg_10__MTG	3.14159450454099e-07
H200.1023	pca_hvg_10__MTG	-3.0359288416548225e-08
H21.33.009	pca_hvg_10__MTG	2.7638566280074883e-07
H21.33.017	pca_hvg_10__MTG	1.2262602240298293e-06
H21.33.020	pca_hvg_10__MTG	-1.53945904912689e-06
H21.33.026	pca_hvg_10__MTG	3.651177280517004e-07
H21.33.029	pca_hvg_10__MTG	-1.155863316171235e-08
H21.33.033	pca_hvg_10__MTG	-3.235329870676651e-07
H21.33.034	pca_hvg_10__MTG	-1.1719874493110183e-07
H21.33.037	pca_hvg_10__MTG	-1.7847844446805539e-07
H21.33.038	pca_hvg_10__MTG	8.157759907589934e-07
H21.33.039	pca_hvg_10__MTG	-1.6757683019008596e-09
H21.33.044	pca_hvg_10__MTG	-3.706654538859766e-08
H21.33.045	pca_hvg_10__MTG	-7.545402240793919e-07
H21.33.046	pca_hvg_10__MTG	-3.1907495667837793e-07
H20.33.008	pca_hvg_11__A9	0.0
H20.33.026	pca_hvg_11__A9	0.0
H20.33.028	pca_hvg_11__A9	-5.535820832847094e-07
H20.33.033	pca_hvg_11__A9	0.0
H20.33.035	pca_hvg_11__A9	0.0
H20.33.036	pca_hvg_11__A9	-5.347174081293815e-08
H20.33.037	pca_hvg_11__A9	0.0
H20.33.038	pca_hvg_11__A9	-1.1623538398453093e-07
H20.33.045	pca_hvg_11__A9	0.0
H200.1023	pca_hvg_11__A9	0.0
H21.33.009	pca_hvg_11__A9	0.0
H21.33.017	pca_hvg_11__A9	0.0
H21.33.020	pca_hvg_11__A9	-1.4032252693141345e-06
H21.33.026	pca_hvg_11__A9	0.0
H21.33.029	pca_hvg_11__A9	0.0
H21.33.033	pca_hvg_11__A9	0.0
H21.33.034	pca_hvg_11__A9	2.7663763830787502e-06
H21.33.037	pca_hvg_11__A9	0.0
H21.33.038	pca_hvg_11__A9	0.0
H21.33.039	pca_hvg_11__A9	0.0
H21.33.044	pca_hvg_11__A9	6.931737175364105e-07
H21.33.045	pca_hvg_11__A9	3.0506024017995514e-07
H21.33.046	pca_hvg_11__A9	0.0
H20.33.008	pca_hvg_11__MTG	4.9963318815571256e-08
H20.33.026	pca_hvg_11__MTG	-4.238952655555295e-08
H20.33.028	pca_hvg_11__MTG	-5.893381285204669e-07
H20.33.033	pca_hvg_11__MTG	3.6698054373118794e-07
H20.33.035	pca_hvg_11__MTG	-5.722305331801181e-07
H20.33.036	pca_hvg_11__MTG	2.8742596214215155e-07
H20.33.037	pca_hvg_11__MTG	4.118696779187303e-07
H20.33.038	pca_hvg_11__MTG	9.704807553134742e-07
H20.33.045	pca_hvg_11__MTG	-2.0906095699047e-07
H200.1023	pca_hvg_11__MTG	6.970552846041755e-08
H21.33.009	pca_hvg_11__MTG	-2.8459922418733186e-07
H21.33.017	pca_hvg_11__MTG	8.805357651908707e-07
H21.33.020	pca_hvg_11__MTG	-9.602045025758343e-08
H21.33.026	pca_hvg_11__MTG	1.2715358366222063e-07
H21.33.029	pca_hvg_11__MTG	1.0592975030476737e-07
H21.33.033	pca_hvg_11__MTG	-3.3073447980314086e-07
H21.33.034	pca_hvg_11__MTG	-2.191849546306912e-07
H21.33.037	pca_hvg_11__MTG	-5.027515612709976e-07
H21.33.038	pca_hvg_11__MTG	-7.345872177211277e-08
H21.33.039	pca_hvg_11__MTG	-1.4364306935021887e-06
H21.33.044	pca_hvg_11__MTG	-7.417207257276459e-07
H21.33.045	pca_hvg_11__MTG	2.8041478117302177e-07
H21.33.046	pca_hvg_11__MTG	1.9899275116586068e-07
H20.33.008	pca_hvg_12__A9	0.0
H20.33.026	pca_hvg_12__A9	0.0
H20.33.028	pca_hvg_12__A9	-3.577947538246917e-08
H20.33.033	pca_hvg_12__A9	0.0
H20.33.035	pca_hvg_12__A9	0.0
H20.33.036	pca_hvg_12__A9	2.922962494267267e-07
H20.33.037	pca_hvg_12__A9	0.0
H20.33.038	pca_hvg_12__A9	8.819068852972123e-08
H20.33.045	pca_hvg_12__A9	0.0
H200.1023	pca_hvg_12__A9	0.0
H21.33.009	pca_hvg_12__A9	0.0
H21.33.017	pca_hvg_12__A9	0.0
H21.33.020	pca_hvg_12__A9	1.3757154420090956e-06
H21.33.026	pca_hvg_12__A9	0.0
H21.33.029	pca_hvg_12__A9	0.0
H21.33.033	pca_hvg_12__A9	0.0
H21.33.034	pca_hvg_12__A9	-6.230283702279849e-07
H21.33.037	pca_hvg_12__A9	0.0
H21.33.038	pca_hvg_12__A9	0.0
H21.33.039	pca_hvg_12__A9	0.0
H21.33.044	pca_hvg_12__A9	2.529773439619021e-07
H21.33.045	pca_hvg_12__A9	-3.944639388464566e-07
H21.33.046	pca_hvg_12__A9	0.0
H20.33.008	pca_hvg_12__MTG	-1.4814790283423918e-08
H20.33.026	pca_hvg_12__MTG	-1.4726668950970634e-06
H20.33.028	pca_hvg_12__MTG	3.803033905569464e-07
H20.33.033	pca_hvg_12__MTG	-4.1746625356609e-07
H20.33.035	pca_hvg_12__MTG	1.4115106239387387e-07
H20.33.036	pca_hvg_12__MTG	3.6828421912105114e-07
H20.33.037	pca_hvg_12__MTG	1.5394816728075966e-06
H20.33.038	pca_hvg_12__MTG	1.3474250692979695e-07
H20.33.045	pca_hvg_12__MTG	1.07876564925391e-06
H200.1023	pca_hvg_12__MTG	-2.2674592514704273e-07
H21.33.009	pca_hvg_12__MTG	1.1459147799541824e-06
H21.33.017	pca_hvg_12__MTG	6.426656113944773e-07
H21.33.020	pca_hvg_12__MTG	1.9080816571204195e-07
H21.33.026	pca_hvg_12__MTG	-2.6559524712865823e-07
H21.33.029	pca_hvg_12__MTG	-2.425989293897146e-07
H21.33.033	pca_hvg_12__MTG	4.839300231651578e-07
H21.33.034	pca_hvg_12__MTG	2.704093731153989e-07
H21.33.037	pca_hvg_12__MTG	5.480197842189227e-07
H21.33.038	pca_hvg_12__MTG	3.457386412719643e-07
H21.33.039	pca_hvg_12__MTG	1.4796898994973162e-06
H21.33.044	pca_hvg_12__MTG	4.497010763770959e-07
H21.33.045	pca_hvg_12__MTG	2.370805532336817e-06
H21.33.046	pca_hvg_12__MTG	-1.2891311484963808e-07
H20.33.008	pca_hvg_13__A9	0.0
H20.33.026	pca_hvg_13__A9	0.0
H20.33.028	pca_hvg_13__A9	1.677188095072779e-07
H20.33.033	pca_hvg_13__A9	0.0
H20.33.035	pca_hvg_13__A9	0.0
H20.33.036	pca_hvg_13__A9	-2.2768206520140666e-07
H20.33.037	pca_hvg_13__A9	0.0
H20.33.038	pca_hvg_13__A9	3.393134022644517e-07
H20.33.045	pca_hvg_13__A9	0.0
H200.1023	pca_hvg_13__A9	0.0
H21.33.009	pca_hvg_13__A9	0.0
H21.33.017	pca_hvg_13__A9	0.0
H21.33.020	pca_hvg_13__A9	-2.7714854411442502e-08
H21.33.026	pca_hvg_13__A9	0.0
H21.33.029	pca_hvg_13__A9	0.0
H21.33.033	pca_hvg_13__A9	0.0
H21.33.034	pca_hvg_13__A9	-4.954072778673435e-07
H21.33.037	pca_hvg_13__A9	0.0
H21.33.038	pca_hvg_13__A9	0.0
H21.33.039	pca_hvg_13__A9	0.0
H21.33.044	pca_hvg_13__A9	7.919769728914616e-08
H21.33.045	pca_hvg_13__A9	3.212611687786193e-08
H21.33.046	pca_hvg_13__A9	0.0
H20.33.008	pca_hvg_13__MTG	5.529122759639904e-08
H20.33.026	pca_hvg_13__MTG	1.53396428004271e-07
H20.33.028	pca_hvg_13__MTG	7.458883288791185e-09
H20.33.033	pca_hvg_13__MTG	1.1140225097960865e-07
H20.33.035	pca_hvg_13__MTG	-4.5456380348696257e-07
H20.33.036	pca_hvg_13__MTG	4.7766445021579784e-08
H20.33.037	pca_hvg_13__MTG	-3.636570866660804e-08
H20.33.038	pca_hvg_13__MTG	4.832759969986e-08
H20.33.045	pca_hvg_13__MTG	3.369479486536875e-07
H200.1023	pca_hvg_13__MTG	-3.695789985158626e-08
H21.33.009	pca_hvg_13__MTG	-2.3356231793059123e-07
H21.33.017	pca_hvg_13__MTG	-3.942994908356923e-08
H21.33.020	pca_hvg_13__MTG	-1.104801583551307e-07
H21.33.026	pca_hvg_13__MTG	3.33020750531432e-07
H21.33.029	pca_hvg_13__MTG	-3.3091552609221253e-07
H21.33.033	pca_hvg_13__MTG	-6.365069680214219e-07
H21.33.034	pca_hvg_13__MTG	-1.2092625638615573e-06
H21.33.037	pca_hvg_13__MTG	3.405646964438347e-07
H21.33.038	pca_hvg_13__MTG	4.059606908413116e-07
H21.33.039	pca_hvg_13__MTG	8.675479534758779e-08
H21.33.044	pca_hvg_13__MTG	-2.552874320826959e-07
H21.33.045	pca_hvg_13__MTG	-2.2318291215128738e-08
H21.33.046	pca_hvg_13__MTG	3.134786652481125e-07
H20.33.008	pca_hvg_14__A9	0.0
H20.33.026	pca_hvg_14__A9	0.0
H20.33.028	pca_hvg_14__A9	4.1736851130735886e-07
H20.33.033	pca_hvg_14__A9	0.0
H20.33.035	pca_hvg_14__A9	0.0
H20.33.036	pca_hvg_14__A9	-1.7615183978136884e-08
H20.33.037	pca_hvg_14__A9	0.0
H20.33.038	pca_hvg_14__A9	-2.0080008766854007e-07
H20.33.045	pca_hvg_14__A9	0.0
H200.1023	pca_hvg_14__A9	0.0
H21.33.009	pca_hvg_14__A9	0.0
H21.33.017	pca_hvg_14__A9	0.0
H21.33.020	pca_hvg_14__A9	2.4490464056725614e-07
H21.33.026	pca_hvg_14__A9	0.0
H21.33.029	pca_hvg_14__A9	0.0
H21.33.033	pca_hvg_14__A9	0.0
H21.33.034	pca_hvg_14__A9	1.3648957519762916e-07
H21.33.037	pca_hvg_14__A9	0.0
H21.33.038	pca_hvg_14__A9	0.0
