feature	retained_fraction	median_n_transcripts	median_n_genes	zero_transcript_fraction
retained_fraction	1.0	0.6836474433155573	0.7523682625297355	-0.33344064719397765
median_n_transcripts	0.6836474433155573	1.0	0.9862859449849549	-0.11269796267710598
median_n_genes	0.7523682625297355	0.9862859449849549	1.0	-0.11195462850713019
zero_transcript_fraction	-0.33344064719397765	-0.11269796267710598	-0.11195462850713019	1.0
