donor_id	region	section_id	n_cells_total	n_cells_retained	retained_fraction	median_n_transcripts	median_n_genes	zero_transcript_fraction	section_pass	section_root	cells_path	matrix_path
H20.33.012	CN	1417643111	71604	65742	0.9181330651918888	108.0	53.0	0.0016758840288252	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643111\xenium_output_and_alignment\output-XETG00210__0036828__1417643111__20250305__203943	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643111\xenium_output_and_alignment\output-XETG00210__0036828__1417643111__20250305__203943\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643111\xenium_output_and_alignment\output-XETG00210__0036828__1417643111__20250305__203943\cell_feature_matrix\matrix.mtx.gz
H20.33.017	CN	1417643356	43130	38308	0.8881984697426385	144.0	66.0	0.0412705773243681	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643356\xenium_output_and_alignment\output-XETG00214__0037063__1417643356__20250326__200820	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643356\xenium_output_and_alignment\output-XETG00214__0037063__1417643356__20250326__200820\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643356\xenium_output_and_alignment\output-XETG00214__0037063__1417643356__20250326__200820\cell_feature_matrix\matrix.mtx.gz
H20.33.017	CN	1417643359	32525	29353	0.9024750192159876	214.0	80.0	0.0613066871637202	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643359\xenium_output_and_alignment\output-XETG00214__0037063__1417643359__20250326__200820	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643359\xenium_output_and_alignment\output-XETG00214__0037063__1417643359__20250326__200820\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643359\xenium_output_and_alignment\output-XETG00214__0037063__1417643359__20250326__200820\cell_feature_matrix\matrix.mtx.gz
H20.33.017	CN	1417643362	28175	26989	0.9579059449866903	229.0	82.0	0.0023779946761313	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643362\xenium_output_and_alignment\output-XETG00044__0036263__1417643362__20250409__170351	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643362\xenium_output_and_alignment\output-XETG00044__0036263__1417643362__20250409__170351\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643362\xenium_output_and_alignment\output-XETG00044__0036263__1417643362__20250409__170351\cell_feature_matrix\matrix.mtx.gz
H20.33.017	CN	1417643365	26154	24960	0.9543473273686626	226.0	80.0	0.0050087940659172	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643365\xenium_output_and_alignment\output-XETG00044__0036263__1417643365__20250409__170351	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643365\xenium_output_and_alignment\output-XETG00044__0036263__1417643365__20250409__170351\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.017\1417643365\xenium_output_and_alignment\output-XETG00044__0036263__1417643365__20250409__170351\cell_feature_matrix\matrix.mtx.gz
H20.33.026	CN	1417643939	47628	46854	0.9837490551776266	311.0	101.0	0.0023725539598555	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643939\xenium_output_and_alignment\output-XETG00220__0036941__1417643939__20250319__191739	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643939\xenium_output_and_alignment\output-XETG00220__0036941__1417643939__20250319__191739\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643939\xenium_output_and_alignment\output-XETG00220__0036941__1417643939__20250319__191739\cell_feature_matrix\matrix.mtx.gz
H20.33.026	CN	1417643942	43365	42758	0.9860025366078636	318.0	103.0	0.0018217456474115	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643942\xenium_output_and_alignment\output-XETG00220__0036941__1417643942__20250319__191739	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643942\xenium_output_and_alignment\output-XETG00220__0036941__1417643942__20250319__191739\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643942\xenium_output_and_alignment\output-XETG00220__0036941__1417643942__20250319__191739\cell_feature_matrix\matrix.mtx.gz
H20.33.026	CN	1417643951	63789	61583	0.965417234946464	236.0	88.0	0.0011600746210161	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643951\xenium_output_and_alignment\output-XETG00044__0043260__1417643951__20250305__205123	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643951\xenium_output_and_alignment\output-XETG00044__0043260__1417643951__20250305__205123\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643951\xenium_output_and_alignment\output-XETG00044__0043260__1417643951__20250305__205123\cell_feature_matrix\matrix.mtx.gz
H20.33.026	CN	1417643954	58910	57163	0.970344593447632	243.0	89.0	0.0012391784077406	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643954\xenium_output_and_alignment\output-XETG00044__0043260__1417643954__20250305__205123	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643954\xenium_output_and_alignment\output-XETG00044__0043260__1417643954__20250305__205123\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643954\xenium_output_and_alignment\output-XETG00044__0043260__1417643954__20250305__205123\cell_feature_matrix\matrix.mtx.gz
H20.33.031	CN	1417644664	28583	26914	0.9416086484973586	235.0	84.0	0.0226358324878424	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644664\xenium_output_and_alignment\output-XETG00214__0036210__1417644664__20250326__200820	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644664\xenium_output_and_alignment\output-XETG00214__0036210__1417644664__20250326__200820\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644664\xenium_output_and_alignment\output-XETG00214__0036210__1417644664__20250326__200820\cell_feature_matrix\matrix.mtx.gz
