donor_id	region	section_id	metric	value	zscore	flag_reason
H21.33.027	CN	1417649450	retained_fraction	0.6804878048780488	-5.1558037003442925	|z| >= 4.0
H20.33.017	CN	1417643359	zero_transcript_fraction	0.06130668716372022	4.59075805413316	|z| >= 4.0
