2026-03-27 19:24:41,490 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.026 | region=CN | section=1417643939 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643939\xenium_output_and_alignment\output-XETG00220__0036941__1417643939__20250319__191739
2026-03-27 19:24:46,210 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.026 | region=CN | section=1417643939 | retained=46854/47628
2026-03-27 19:24:46,211 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.026 | region=CN | section=1417643942 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643942\xenium_output_and_alignment\output-XETG00220__0036941__1417643942__20250319__191739
2026-03-27 19:24:50,536 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.026 | region=CN | section=1417643942 | retained=42758/43365
2026-03-27 19:24:50,536 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.026 | region=CN | section=1417643951 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643951\xenium_output_and_alignment\output-XETG00044__0043260__1417643951__20250305__205123
2026-03-27 19:24:56,598 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.026 | region=CN | section=1417643951 | retained=61583/63789
2026-03-27 19:24:56,598 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.026 | region=CN | section=1417643954 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.026\1417643954\xenium_output_and_alignment\output-XETG00044__0043260__1417643954__20250305__205123
2026-03-27 19:25:02,468 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.026 | region=CN | section=1417643954 | retained=57163/58910
2026-03-27 19:25:02,468 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.031 | region=CN | section=1417644664 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644664\xenium_output_and_alignment\output-XETG00214__0036210__1417644664__20250326__200820
2026-03-27 19:25:05,492 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.031 | region=CN | section=1417644664 | retained=26914/28583
2026-03-27 19:25:05,494 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.031 | region=CN | section=1417644667 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644667\xenium_output_and_alignment\output-XETG00214__0036210__1417644667__20250326__200820
2026-03-27 19:25:08,685 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.031 | region=CN | section=1417644667 | retained=31107/32134
2026-03-27 19:25:08,685 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.031 | region=CN | section=1417644670 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644670\xenium_output_and_alignment\output-XETG00044__0036986__1417644670__20250409__170351
2026-03-27 19:25:11,728 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.031 | region=CN | section=1417644670 | retained=28935/29662
2026-03-27 19:25:11,728 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.031 | region=CN | section=1417644673 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644673\xenium_output_and_alignment\output-XETG00044__0036986__1417644673__20250409__170351
2026-03-27 19:25:14,639 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.031 | region=CN | section=1417644673 | retained=29382/30108
2026-03-27 19:25:14,643 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.002 | region=CN | section=1417648780 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648780\xenium_output_and_alignment\output-XETG00214__0050294__1417648780__20250409__170035
2026-03-27 19:25:19,790 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.002 | region=CN | section=1417648780 | retained=52603/53725
2026-03-27 19:25:19,790 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.002 | region=CN | section=1417648783 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648783\xenium_output_and_alignment\output-XETG00214__0050294__1417648783__20250409__170035
2026-03-27 19:25:24,924 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.002 | region=CN | section=1417648783 | retained=50781/51424
2026-03-27 19:25:24,924 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.002 | region=CN | section=1417648792 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648792\xenium_output_and_alignment\output-XETG00214__0031372__1417648792__20250305__210858
2026-03-27 19:25:30,755 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.002 | region=CN | section=1417648792 | retained=56744/57364
2026-03-27 19:25:30,755 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.002 | region=CN | section=1417648795 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648795\xenium_output_and_alignment\output-XETG00214__0031372__1417648795__20250305__210859
2026-03-27 19:25:36,635 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.002 | region=CN | section=1417648795 | retained=57174/57794
2026-03-27 19:25:36,635 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.004 | region=CN | section=1417649139 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649139\xenium_output_and_alignment\output-XETG00220__0036191__1417649139__20250409__182706
2026-03-27 19:25:40,302 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.004 | region=CN | section=1417649139 | retained=37216/39360
2026-03-27 19:25:40,302 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.004 | region=CN | section=1417649142 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649142\xenium_output_and_alignment\output-XETG00220__0036191__1417649142__20250409__182706
2026-03-27 19:25:44,255 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.004 | region=CN | section=1417649142 | retained=38858/40459
2026-03-27 19:25:44,256 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.027 | region=CN | section=1417649441 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649441\xenium_output_and_alignment\output-XETG00044__0036776__1417649441__20250305__205123
2026-03-27 19:25:51,079 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.027 | region=CN | section=1417649441 | retained=69368/73254
